0.47,0.00000
0.47,0.00000
0.47,0.00000
0.47,0.00000
0.47,0.00000
0.47,0.00000
0.46,0.00000
0.46,0.00000
0.46,0.00000
0.46,0.00000
0.46,0.00000
0.46,0.00000
0.46,0.00000
0.47,0.00000
0.47,0.00000
0.47,0.00000
0.48,0.00000
0.48,0.00000
0.48,0.00000
0.49,0.00000
0.59,0.00000
0.60,0.00000
0.61,0.00000
0.61,0.00000
0.62,0.00000
0.62,0.00000
0.64,0.00000
0.64,0.00000
0.89,0.00000
0.92,0.00000
0.94,0.00000
0.95,0.00000
0.96,0.00000
0.97,0.00000
0.98,0.00000
0.99,0.00000
1.02,0.00000
1.06,0.00000
1.07,0.00000
1.10,0.00000
1.11,0.00000
1.16,0.00000
1.19,0.00000
1.21,0.00000
1.40,0.00000
1.54,0.00010
1.72,0.00012
1.77,0.00018
1.82,0.00024
2.11,0.00066
2.15,0.00071
2.18,0.00073
2.20,0.00077
2.22,0.00081
2.24,0.00083
2.24,0.00086
2.30,0.00092
2.30,0.00098
2.33,0.00101
2.35,0.00101
2.36,0.00103
2.40,0.00110
2.40,0.00111
2.41,0.00111
2.40,0.00111
2.41,0.00111
2.41,0.00111
2.41,0.00111
2.41,0.00109
2.42,0.00116
2.45,0.00133
2.57,0.00156
2.67,0.00169
2.79,0.00197
2.94,0.00219
3.04,0.00246
3.22,0.00300
3.42,0.00306
3.44,0.00314
3.74,0.00388
3.86,0.00419
3.97,0.00427
4.03,0.00437
4.03,0.00438
4.06,0.00448
4.08,0.00458
4.13,0.00470
4.24,0.00500
4.33,0.00503
4.35,0.00512
4.37,0.00515
4.39,0.00518
4.52,0.00556
4.58,0.00558
4.60,0.00566
4.62,0.00567
4.64,0.00572
4.65,0.00573
4.71,0.00588
4.73,0.00599
4.76,0.00603
4.78,0.00607
4.80,0.00614
4.86,0.00645
4.99,0.00657
5.04,0.00662
5.10,0.00692
5.18,0.00726
5.33,0.00740
5.39,0.00754
5.51,0.00768
5.56,0.00791
5.68,0.00805
5.77,0.00875
6.22,0.00973
6.44,0.00989
6.47,0.00992
6.55,0.01062
6.67,0.01059
6.67,0.01063
6.67,0.01063
