0.67,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.46,0.00000
0.46,0.00000
0.45,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.44,0.00000
0.45,0.00000
0.45,0.00000
0.45,0.00000
0.60,0.00000
0.69,0.00000
0.73,0.00000
0.76,0.00000
0.80,0.00000
0.82,0.00000
0.85,0.00000
0.86,0.00000
0.89,0.00000
0.98,0.00000
1.09,0.00000
1.31,0.00000
1.38,0.00000
1.45,0.00000
1.52,0.00000
1.54,0.00000
1.54,0.00000
1.62,0.00000
1.62,0.00000
1.63,0.00000
1.66,0.00000
1.71,0.00000
1.72,0.00000
1.74,0.00000
1.76,0.00001
1.92,0.00003
1.94,0.00003
2.00,0.00004
2.00,0.00004
2.03,0.00007
2.13,0.00014
2.26,0.00024
2.35,0.00025
2.37,0.00026
2.42,0.00030
2.42,0.00030
2.42,0.00030
2.43,0.00031
2.43,0.00034
2.47,0.00035
2.48,0.00037
2.51,0.00040
2.56,0.00044
2.58,0.00044
2.62,0.00049
2.64,0.00050
2.66,0.00052
2.68,0.00053
2.69,0.00053
2.70,0.00054
2.73,0.00057
2.73,0.00057
2.73,0.00058
2.75,0.00060
2.78,0.00062
2.81,0.00068
2.86,0.00073
2.95,0.00079
2.98,0.00081
3.04,0.00087
3.09,0.00092
3.10,0.00094
3.10,0.00093
3.12,0.00105
3.20,0.00114
3.41,0.00135
3.51,0.00137
3.51,0.00137
3.55,0.00141
3.56,0.00144
3.57,0.00149
3.62,0.00152
3.65,0.00158
3.76,0.00177
3.99,0.00208
4.30,0.00329
5.20,0.00334
5.23,0.00345
5.37,0.00382
5.67,0.00392
5.82,0.00424
6.08,0.00448
6.25,0.00485
6.46,0.00513
6.61,0.00516
6.67,0.00575
6.95,0.00610
7.06,0.00698
7.31,0.00705
7.32,0.00706
7.35,0.00731
7.43,0.00756
7.48,0.00765
7.49,0.00770
7.51,0.00777
7.53,0.00791
7.53,0.00791
7.53,0.00791
7.55,0.00795
7.56,0.00801
7.56,0.00801
7.55,0.00800
7.56,0.00801
7.56,0.00801
7.57,0.00804
7.57,0.00810
7.58,0.00813
7.59,0.00860
7.68,0.00873
7.73,0.00901
7.78,0.00930
7.84,0.00969
7.89,0.00977
7.89,0.00984
7.90,0.00985
7.91,0.01030
7.97,0.01032
7.99,0.01039
7.99,0.01041
7.99,0.01043
7.99,0.01053
8.01,0.01059
8.02,0.01063
8.03,0.01070
8.03,0.01072
8.06,0.01115
8.12,0.01144
8.13,0.01146
8.14,0.01173
8.18,0.01195
8.21,0.01221
8.22,0.01228
8.23,0.01230
8.23,0.01230
8.23,0.01229
8.23,0.01229
8.23,0.01245
8.25,0.01277
8.29,0.01286
8.31,0.01302
8.31,0.01302
8.31,0.01302
8.31,0.01307
8.32,0.01308
8.32,0.01328
8.36,0.01354
8.36,0.01355
8.36,0.01355
8.36,0.01355
8.36,0.01355
8.36,0.01355
8.36,0.01355
8.36,0.01353
8.36,0.01351
8.36,0.01352
8.36,0.01352
8.36,0.01352
8.36,0.01351
8.36,0.01351
8.36,0.01356
8.37,0.01361
8.38,0.01374
8.39,0.01378
8.39,0.01379
8.39,0.01429
8.43,0.01429
8.44,0.01439
8.44,0.01442
8.45,0.01444
8.45,0.01444
8.45,0.01445
8.45,0.01445
8.45,0.01444
8.45,0.01450
8.45,0.01471
8.48,0.01478
8.48,0.01480
8.48,0.01484
8.48,0.01486
8.49,0.01495
8.49,0.01496
8.49,0.01496
8.51,0.01512
8.51,0.01515
8.51,0.01523
8.52,0.01527
8.51,0.01532
8.52,0.01536
8.53,0.01541
8.52,0.01543
8.53,0.01546
8.53,0.01546
8.53,0.01546
8.53,0.01546
8.53,0.01547
8.53,0.01549
8.53,0.01550
8.53,0.01550
8.53,0.01550
8.53,0.01549
8.53,0.01548
8.53,0.01548
