0.425,-0.00001
0.424,-0.00001
0.431,-0.00001
0.453,-0.00001
0.593,-0.00001
0.571,-0.00001
0.515,-0.00001
0.547,-0.00001
0.576,-0.00001
0.587,-0.00001
0.613,-0.00001
0.616,-0.00001
0.619,-0.00001
0.620,-0.00001
0.660,-0.00001
0.838,-0.00001
0.846,-0.00001
0.847,-0.00001
0.855,-0.00001
0.881,-0.00001
0.881,-0.00001
0.905,-0.00001
0.921,-0.00001
0.919,-0.00001
0.958,-0.00001
0.974,-0.00001
1.023,-0.00001
1.111,-0.00001
1.188,-0.00001
1.219,-0.00001
1.297,-0.00001
1.308,-0.00001
1.364,-0.00001
1.628,-0.00001
1.623,0.00000
1.622,0.00000
1.622,-0.00001
1.628,0.00000
1.635,0.00000
1.680,0.00000
1.680,0.00000
1.701,0.00000
1.724,0.00001
1.774,0.00001
1.812,0.00003
1.844,0.00005
1.851,0.00010
1.971,0.00020
2.053,0.00033
2.105,0.00041
2.172,0.00055
2.216,0.00075
2.251,0.00097
2.326,0.00126
2.359,0.00169
2.390,0.00194
2.396,0.00203
2.430,0.00238
2.451,0.00280
2.470,0.00292
2.486,0.00323
2.500,0.00332
2.504,0.00335
2.512,0.00349
2.514,0.01249
