2500,  "0,058", "0,032", "2,97E+07", "2,68E-11",    "2,60E-11"
3000,  "0,05" , "0,029", "3,25E+07", "2,32E-11",    "2,36E-11"
3500,  "0,047", "0,026", "3,51E+07", "2,19E-11",    "2,12E-11"
4000,  "0,043", "0,025", "3,75E+07", "2,01E-11",    "2,04E-11"
4500,  "0,041", "0,023", "3,98E+07", "1,92E-11",    "1,88E-11"
5000,  "0,039", "0,022", "4,19E+07", "1,82E-11",    "1,80E-11"
